City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,haiku-pauwela,20.9219,-156.3051,74.25,77,63,1.01,US,1700370127
287,ilhabela,-23.7781,-45.3581,75.99,94,100,14.36,BR,1700370127
288,sisimiut,66.9395,-53.6735,31.42,81,98,28.54,GL,1700370128
289,toliara,-23.35,43.6667,83.28,57,1,3.24,MG,1700370129
290,weno,7.4515,151.8468,83.75,74,62,7.2,FM,1700370129
291,broome,42.2506,-75.833,35.67,81,8,1.99,US,1700370130
292,san juan,-31.5375,-68.5364,66.51,22,3,2.77,AR,1700370130
293,mozhga,56.4447,52.2276,19.99,71,6,8.05,RU,1700370131
294,grand falls-windsor,48.9332,-55.6649,53.51,94,100,11.99,CA,1700369977
295,dehloran,32.6941,47.2679,67.95,61,0,6.53,IR,1700370132
296,grand-popo,6.2804,1.8225,75.88,90,87,4.14,BJ,1700370133
297,ulladulla,-35.35,150.4667,95.77,31,42,8.03,AU,1700370133
298,progreso,21.2833,-89.6667,75.11,77,94,5.5,MX,1700370133
299,ruston,32.5232,-92.6379,44.42,93,0,0.0,US,1700370134
300,rampur,28.8167,79.0333,73.9,44,0,5.68,IN,1700370134
301,farap,39.1704,63.6116,58.06,35,77,10.51,TM,1700370135
302,kingston,17.997,-76.7936,81.55,90,40,6.91,JM,1700369901
303,rio grande,-32.035,-52.0986,58.95,78,22,4.85,BR,1700370136
304,priargunsk,50.3691,119.1012,18.23,85,24,2.86,RU,1700370136
305,ginir,7.1333,40.7,60.19,93,100,6.91,ET,1700370137
306,wajir,1.7471,40.0573,75.34,88,100,3.67,KE,1700370138
307,san pedro pochutla,15.7333,-96.4667,74.05,93,18,2.44,MX,1700370138
308,valparaiso,-33.0393,-71.6273,51.44,87,0,4.61,CL,1700370064
309,itoman,26.1247,127.6694,73.78,49,20,12.66,JP,1700370139
310,birao,10.2849,22.7882,71.33,37,98,6.6,CF,1700370140
311,urumqi,43.801,87.6005,36.55,70,98,2.24,CN,1700370140
312,fort mcmurray,56.7268,-111.381,35.19,93,100,6.91,CA,1700370141
313,ambilobe,-13.2,49.05,87.58,50,0,8.46,MG,1700370141
314,walvis bay,-22.9575,14.5053,63.09,88,0,4.61,NA,1700370142
315,sodankyla,67.4167,26.6,-8.37,100,91,0.89,FI,1700370143
316,wickenburg,33.9686,-112.7296,61.45,56,0,5.93,US,1700370143
317,takoradi,4.8845,-1.7554,78.08,87,41,5.82,GH,1700370144
318,arteche,12.2645,125.4048,80.76,89,100,13.22,PH,1700370145
319,bondo,3.8146,23.6866,71.29,99,100,1.63,CD,1700370145
320,verkhnevilyuysk,63.4453,120.3167,5.52,98,98,2.35,RU,1700370146
321,mayya,61.7333,130.2811,-5.69,95,95,3.15,RU,1700370146
322,zungeru,9.8128,6.1558,72.55,21,100,4.03,NG,1700370125
323,gadzhiyevo,69.2551,33.3362,11.17,97,73,7.16,RU,1700370147
324,lebu,-37.6167,-73.65,52.05,84,23,4.29,CL,1700370125
325,lorengau,-2.0226,147.2712,84.92,72,9,11.34,PG,1700370082
326,egilsstadir,65.2653,-14.3948,37.31,87,75,9.22,IS,1700370148
327,ormara,25.2088,64.6357,76.15,52,0,2.91,PK,1700370139
328,stephenville,32.2207,-98.2023,56.19,90,0,3.44,US,1700370150
329,crane,31.3974,-102.3501,60.76,71,78,16.04,US,1700370150
330,lata,40.1629,-8.3327,58.91,92,33,2.39,PT,1700370151
331,laela,-8.5667,32.05,69.87,64,74,6.87,TZ,1700370151
332,rongelap,11.1635,166.8941,82.56,78,28,15.84,MH,1700370152
333,el porvenir,13.7617,-87.3458,70.93,88,26,6.24,HN,1700370152
334,puerto baquerizo moreno,-0.9,-89.6,72.05,83,15,7.43,EC,1700370153
335,malango,-2.9627,119.9001,77.5,94,60,0.94,ID,1700370154
336,colonia,50.9333,6.95,56.43,85,75,8.05,DE,1700370047
337,cabedelo,-6.9811,-34.8339,79.47,88,2,5.12,BR,1700370056
338,altai,46.3722,96.2583,34.86,53,3,3.24,MN,1700370155
339,gimbi,9.1667,35.8333,61.09,88,81,1.12,ET,1700370157
340,kisoro,-1.2854,29.685,60.64,87,36,3.09,UG,1700370158
341,kamina,-8.7386,24.9906,68.31,92,100,0.65,CD,1700370159
342,kapa'a,22.0752,-159.319,78.78,86,87,1.01,US,1700370159
343,elmadag,39.9208,33.2308,33.66,83,95,17.11,TR,1700370160
344,prince rupert,54.3161,-130.3201,44.69,91,100,9.22,CA,1700370160
345,tahoua,14.8888,5.2692,73.13,20,94,11.07,NE,1700370161
346,port-gentil,-0.7193,8.7815,76.59,91,100,7.61,GA,1700370161
347,constantia,44.1833,28.65,36.7,83,100,33.35,RO,1700370067
348,kangding,30.0513,101.9603,53.62,59,22,3.85,CN,1700370162
349,darab,28.7519,54.5444,63.39,51,19,2.62,IR,1700370163
350,hammerfest,70.6634,23.6821,27.05,74,40,10.36,NO,1700370048
351,qui nhon,13.7667,109.2333,74.98,84,100,19.75,VN,1700370164
352,minab,27.1467,57.0801,76.48,61,0,1.77,IR,1700370165
353,huoqiu chengguanzhen,32.3547,116.2939,68.4,34,0,11.63,CN,1700370166
354,xiva,41.3783,60.3639,44.58,50,15,14.41,UZ,1700370166
355,cayeli,41.0923,40.7292,64.92,72,100,6.71,TR,1700370167
356,kalmunai,7.4167,81.8167,84.45,72,94,5.88,LK,1700370167
357,changji,44.0167,87.3167,39.99,70,99,2.24,CN,1700370168
358,sinabang,2.4803,96.3801,82.47,78,97,3.33,ID,1700370168
359,villamontes,-21.25,-63.5,80.94,63,82,4.47,BO,1700370169
360,rakops,-21.0167,24.3333,82.45,28,44,11.25,BW,1700370170
361,alo,7.4178,6.7371,77.22,77,93,1.77,NG,1700370170
362,kansanshi,-12.0951,26.4273,70.43,66,98,4.07,ZM,1700370170
363,kirensk,57.7853,108.1119,27.97,81,100,11.01,RU,1700370171
